Point Index,Radiation (kWh/m²),Time
709,1.44,55:23.1
710,1.44,56:28.8
711,1.44,57:34.5
712,1.44,58:40.2
713,1.44,59:45.9
714,1.44,00:51.6
715,1.44,01:57.3
716,1.44,03:03.1
717,1.72,04:08.8
718,2.14,05:14.5
719,2.14,06:20.2
720,2.14,07:25.9
721,2.14,08:31.6
722,2.14,09:37.3
723,2.14,10:43.0
724,2.14,11:48.7
725,2.14,12:54.4
726,2.14,14:00.2
727,2.12,15:05.9
728,1.54,16:11.6
729,1.44,17:17.3
730,1.44,18:23.0
731,1.44,19:28.7
732,1.44,20:34.4
733,1.44,21:40.1
734,1.44,22:45.8
735,1.44,23:51.6
736,1.44,24:57.3
737,1.78,26:03.0
738,2.14,27:08.7
739,2.14,28:14.4
740,2.14,29:20.1
741,2.14,30:25.8
742,2.14,31:31.5
743,2.14,32:37.2
744,2.14,33:42.9
745,2.14,34:48.7
746,2.14,35:54.4
747,2.12,37:00.1
748,1.28,38:05.8
749,1.44,39:11.5
750,1.44,40:17.2
751,1.44,41:22.9
752,1.44,42:28.6
753,1.44,43:34.3
754,1.44,44:40.1
755,1.44,45:45.8
756,1.44,46:51.5
757,1.6,47:57.2
758,2.14,49:02.9
759,2.14,50:08.6
760,2.14,51:14.3
761,2.14,52:20.0
762,2.14,53:25.7
763,2.14,54:31.4
764,2.14,55:37.2
765,2.14,56:42.9
766,2.14,57:48.6
767,2.14,58:54.3
